,name,company,year,price,kms_driven,fuel_type
0,Toyota Vitz,Toyota ,2017,2385000,9869,Petrol
1,Toyota Corolla,Toyota ,2019,111000,11111,Petrol
2,Suzuki Alto,Suzuki ,2019,1530000,17500,Petrol
3,Suzuki Alto,Suzuki ,2019,1650000,9600,Petrol
4,Toyota Corolla,Toyota ,2010,1435000,120000,Petrol
5,Honda Civic,Honda ,2017,3850000,22000,Petrol
6,Suzuki Wagon,Suzuki ,2017,1440000,31000,Petrol
7,Mitsubishi Mirage,Mitsubishi ,2012,1425000,101000,Petrol
8,Toyota Prado,Toyota ,1998,2650000,110000,Diesel
9,Honda Civic,Honda ,2017,3350000,60000,Petrol
10,Honda Vezel,Honda ,2014,3200000,91000,Hybrid
11,Honda City,Honda ,2017,1990000,75000,Petrol
12,Toyota Passo,Toyota ,2010,1470000,67000,Petrol
13,Honda N,Honda ,2016,185000,20000,Petrol
14,Suzuki Cultus,Suzuki ,2012,920000,83000,Petrol
15,Toyota Corolla,Toyota ,2018,2750000,51240,Petrol
16,Honda N,Honda ,2017,1150000,100000,Petrol
17,Honda City,Honda ,2004,910000,150000,Petrol
18,Toyota Fortuner,Toyota ,2018,8650000,35000,Diesel
19,Suzuki Wagon,Suzuki ,2016,1625000,45000,Petrol
20,Honda City,Honda ,2016,2100000,58000,Petrol
21,Toyota Vitz,Toyota ,2001,965000,135000,Petrol
22,Suzuki Mehran,Suzuki ,2018,840000,55000,Petrol
23,Honda N,Honda ,2012,1485000,74000,Petrol
24,Suzuki Khyber,Suzuki ,2000,400000,90000,Petrol
25,Honda Civic,Honda ,2012,1985000,95000,Petrol
26,Toyota Corolla,Toyota ,2016,2445000,96000,Petrol
27,Toyota Corolla,Toyota ,2011,1360000,125000,Petrol
28,Honda City,Honda ,2018,2485000,30000,Petrol
29,Honda Civic,Honda ,2007,1850000,70000,Hybrid
30,Toyota Corolla,Toyota ,2019,3785000,24000,Petrol
31,Honda Civic,Honda ,2010,1490000,176000,Petrol
32,Suzuki Alto,Suzuki ,2016,1445000,65000,Petrol
33,Suzuki Wagon,Suzuki ,2013,1495000,85000,Petrol
34,Honda Civic,Honda ,2011,1815000,74000,Petrol
35,Honda Civic,Honda ,2018,3550000,51946,Petrol
36,Honda City,Honda ,2018,2300000,31000,Petrol
37,Honda Civic,Honda ,2012,2400000,110392,Petrol
38,Honda Civic,Honda ,2015,2390000,90000,Petrol
39,Nissan Dayz,Nissan ,2017,1400000,86000,Petrol
40,Daihatsu Mira,Daihatsu ,2014,1345000,77000,Petrol
41,Suzuki Alto,Suzuki ,2016,1495000,63000,Petrol
42,Toyota Prius,Toyota ,2015,3500000,120000,Petrol
43,Honda City,Honda ,2006,1210000,180000,Petrol
44,Honda City,Honda ,2000,625000,165000,Petrol
45,Toyota Corolla,Toyota ,2010,1750000,108000,Petrol
46,Honda Civic,Honda ,2001,820000,207178,Petrol
47,Suzuki Wagon,Suzuki ,2016,1385000,82000,Petrol
48,Toyota Corolla,Toyota ,2014,1880000,150500,Petrol
49,Toyota Corolla,Toyota ,2019,3000000,20000,Petrol
50,Suzuki Mehran,Suzuki ,2005,495000,85000,Petrol
51,Honda City,Honda ,2016,1970000,95000,Petrol
52,Toyota Corolla,Toyota ,2005,1170000,143000,Petrol
53,Toyota Prius,Toyota ,2014,2980000,78000,Petrol
54,Honda City,Honda ,2005,1025000,95000,Petrol
55,Suzuki Mehran,Suzuki ,2010,585000,84000,Petrol
56,Honda Civic,Honda ,2004,1140000,149000,Petrol
57,Daihatsu Mira,Daihatsu ,2014,1550000,55000,Petrol
58,Suzuki Cultus,Suzuki ,2014,1215000,68000,Petrol
59,Honda Civic,Honda ,2014,2265000,57000,Petrol
60,Nissan Juke,Nissan ,2012,2400000,55000,Petrol
61,Toyota Passo,Toyota ,2017,2350000,35000,Petrol
62,Suzuki Wagon,Suzuki ,2018,1510000,28000,Petrol
63,Suzuki Bolan,Suzuki ,2018,955000,41593,Petrol
64,Honda Civic,Honda ,2016,3045000,57000,Petrol
65,Honda Civic,Honda ,2017,3345000,46000,Petrol
66,Honda Civic,Honda ,2013,2245000,85000,Petrol
67,Honda Civic,Honda ,2018,3345000,47000,Petrol
68,Suzuki Swift,Suzuki ,2015,1420000,78000,Petrol
69,Honda City,Honda ,2014,1835000,65000,Petrol
