name,company,year,price,kms_driven,fuel_type
Toyota Vitz,Toyota ,2017,2385000,9869,Petrol
Toyota Corolla,Toyota ,2019,111000,11111,Petrol
Suzuki Alto,Suzuki ,2019,1530000,17500,Petrol
Suzuki Alto,Suzuki ,2019,1650000,9600,Petrol
Toyota Corolla,Toyota ,2010,1435000,120000,Petrol
Honda Civic,Honda ,2017,3850000,22000,Petrol
Suzuki Wagon,Suzuki ,2017,1440000,31000,Petrol
Mitsubishi Mirage,Mitsubishi ,2012,1425000,101000,Petrol
Toyota Prado,Toyota ,1998,2650000,110000,Diesel
Honda Civic,Honda ,2017,3350000,60000,Petrol
Honda Vezel,Honda ,2014,3200000,91000,Hybrid
Honda City,Honda ,2017,1990000,75000,Petrol
Toyota Passo,Toyota ,2010,1470000,67000,Petrol
Honda N,Honda ,2016,185000,20000,Petrol
Suzuki Cultus,Suzuki ,2012,920000,83000,Petrol
Toyota Corolla,Toyota ,2018,2750000,51240,Petrol
Honda N,Honda ,2017,1150000,100000,Petrol
Honda City,Honda ,2004,910000,150000,Petrol
Toyota Fortuner,Toyota ,2018,8650000,35000,Diesel
Suzuki Wagon,Suzuki ,2016,1625000,45000,Petrol
Honda City,Honda ,2016,2100000,58000,Petrol
Toyota Vitz,Toyota ,2001,965000,135000,Petrol
Suzuki Mehran,Suzuki ,2018,840000,55000,Petrol
Honda N,Honda ,2012,1485000,74000,Petrol
Suzuki Khyber,Suzuki ,2000,400000,90000,Petrol
Honda Civic,Honda ,2012,1985000,95000,Petrol
Toyota Corolla,Toyota ,2016,2445000,96000,Petrol
Toyota Corolla,Toyota ,2011,1360000,125000,Petrol
Honda City,Honda ,2018,2485000,30000,Petrol
Honda Civic,Honda ,2007,1850000,70000,Hybrid
Toyota Corolla,Toyota ,2019,3785000,24000,Petrol
Honda Civic,Honda ,2010,1490000,176000,Petrol
Suzuki Alto,Suzuki ,2016,1445000,65000,Petrol
Suzuki Wagon,Suzuki ,2013,1495000,85000,Petrol
Honda Civic,Honda ,2011,1815000,74000,Petrol
Honda Civic,Honda ,2018,3550000,51946,Petrol
Honda City,Honda ,2018,2300000,31000,Petrol
Honda Civic,Honda ,2012,2400000,110392,Petrol
Honda Civic,Honda ,2015,2390000,90000,Petrol
Nissan Dayz,Nissan ,2017,1400000,86000,Petrol
Daihatsu Mira,Daihatsu ,2014,1345000,77000,Petrol
Suzuki Alto,Suzuki ,2016,1495000,63000,Petrol
Toyota Prius,Toyota ,2015,3500000,120000,Petrol
Honda City,Honda ,2006,1210000,180000,Petrol
Honda City,Honda ,2000,625000,165000,Petrol
Toyota Corolla,Toyota ,2010,1750000,108000,Petrol
Honda Civic,Honda ,2001,820000,207178,Petrol
Suzuki Wagon,Suzuki ,2016,1385000,82000,Petrol
Toyota Corolla,Toyota ,2014,1880000,150500,Petrol
Toyota Corolla,Toyota ,2019,3000000,20000,Petrol
Suzuki Mehran,Suzuki ,2005,495000,85000,Petrol
Honda City,Honda ,2016,1970000,95000,Petrol
Toyota Corolla,Toyota ,2005,1170000,143000,Petrol
Toyota Prius,Toyota ,2014,2980000,78000,Petrol
Honda City,Honda ,2005,1025000,95000,Petrol
Suzuki Mehran,Suzuki ,2010,585000,84000,Petrol
Honda Civic,Honda ,2004,1140000,149000,Petrol
Daihatsu Mira,Daihatsu ,2014,1550000,55000,Petrol
Suzuki Cultus,Suzuki ,2014,1215000,68000,Petrol
Honda Civic,Honda ,2014,2265000,57000,Petrol
Nissan Juke,Nissan ,2012,2400000,55000,Petrol
Toyota Passo,Toyota ,2017,2350000,35000,Petrol
Suzuki Wagon,Suzuki ,2018,1510000,28000,Petrol
Suzuki Bolan,Suzuki ,2018,955000,41593,Petrol
Honda Civic,Honda ,2016,3045000,57000,Petrol
Honda Civic,Honda ,2017,3345000,46000,Petrol
Honda Civic,Honda ,2013,2245000,85000,Petrol
Honda Civic,Honda ,2018,3345000,47000,Petrol
Suzuki Swift,Suzuki ,2015,1420000,78000,Petrol
Honda City,Honda ,2014,1835000,65000,Petrol
Suzuki Liana,Suzuki ,2006,895000,83000,Petrol
Toyota Prius,Toyota ,2016,5200000,15205,Petrol
Suzuki Alto,Suzuki ,2008,700000,123000,Petrol
Suzuki Cultus,Suzuki ,2018,1720000,28575,Petrol
Toyota Passo,Toyota ,2014,1650000,80000,Petrol
Toyota Prius,Toyota ,2010,1960000,80000,Hybrid
Daihatsu Hijet,Daihatsu ,2013,1120000,220000,Petrol
Suzuki Cultus,Suzuki ,2006,650000,123456,Petrol
Toyota Prius,Toyota ,2014,2790000,90520,Petrol
Daihatsu Mira,Daihatsu ,2014,1490000,63200,Petrol
Suzuki Margalla,Suzuki ,1993,250000,500000,Hybrid
Toyota Corolla,Toyota ,2016,2600000,52000,Petrol
Toyota Hilux,Toyota ,2010,3800000,215000,Diesel
Toyota Belta,Toyota ,2006,1275000,105000,Petrol
Toyota Camry,Toyota ,2012,5000000,100000,Petrol
Daihatsu Mira,Daihatsu ,2015,1630000,680000,Petrol
Audi A4,Audi ,2017,8700000,5900,Petrol
Toyota Corolla,Toyota ,2019,2384000,24000,Petrol
Daihatsu Mira,Daihatsu ,2012,1300000,65000,Petrol
Honda Civic,Honda ,2014,2384000,77000,Petrol
Toyota Noah,Toyota ,2015,3850000,35000,Hybrid
Toyota Prado,Toyota ,2012,13900000,75000,Petrol
Toyota Prius,Toyota ,2008,1725000,90000,Petrol
Honda Civic,Honda ,2015,2384000,65000,Petrol
Honda BR-V,Honda ,2018,2875000,37000,Petrol
Toyota Harrier,Toyota ,2014,9175000,61118,Petrol
Toyota Corolla,Toyota ,2019,3400000,4000,Petrol
Toyota Vitz,Toyota ,2014,2384000,129000,Petrol
Honda Vezel,Honda ,2016,4630000,51000,Petrol
Honda City,Honda ,2018,2725000,11012,Petrol
Honda City,Honda ,2015,1875000,55000,Petrol
Suzuki Liana,Suzuki ,2006,780000,156000,Hybrid
Daihatsu Hijet,Daihatsu ,2010,910000,130394,Petrol
Suzuki Bolan,Suzuki ,2016,950000,25000,Petrol
Suzuki Swift,Suzuki ,2013,1500000,80000,Petrol
Suzuki Wagon,Suzuki ,2018,1500000,30000,Petrol
Suzuki Wagon,Suzuki ,2014,1450000,32000,Petrol
Suzuki Mehran,Suzuki ,2018,925000,50000,Petrol
Toyota Corolla,Toyota ,2015,3000000,200000,Petrol
Honda N,Honda ,2016,1595000,41000,Petrol
Suzuki Liana,Suzuki ,2006,650000,107602,Petrol
Toyota Land,Toyota ,1994,2700000,117000,Diesel
Toyota Corolla,Toyota ,2018,3025000,21000,Petrol
Honda Civic,Honda ,2001,875000,100000,Petrol
Toyota Aqua,Toyota ,2015,2400000,112000,Petrol
Honda Civic,Honda ,2010,1725000,55000,Petrol
Honda Civic,Honda ,2017,3150000,45000,Petrol
Toyota Corolla,Toyota ,2019,2384000,8600,Petrol
Toyota Belta,Toyota ,2007,2384000,76000,Petrol
Toyota C-HR,Toyota ,2016,2384000,20000,Hybrid
Suzuki Alto,Suzuki ,2019,660000,6800,Petrol
Honda Civic,Honda ,2014,2525000,29000,Petrol
Toyota Aqua,Toyota ,2016,3025000,75000,Hybrid
Toyota Land,Toyota ,2016,34300000,43200,Petrol
Toyota Land,Toyota ,2016,37500000,12786,Petrol
Honda Civic,Honda ,2015,2384000,45000,Petrol
Toyota Prius,Toyota ,2010,2200000,125000,Petrol
Toyota Prius,Toyota ,2016,4095000,79736,Hybrid
Honda N,Honda ,2014,1450000,65000,Petrol
Honda BR-V,Honda ,2019,3000000,31456,Petrol
Honda Civic,Honda ,2016,3190000,27000,Petrol
Suzuki Liana,Suzuki ,2007,725000,170000,Petrol
Suzuki Wagon,Suzuki ,2019,1600000,21700,Petrol
Daihatsu Boon,Daihatsu ,2017,2384000,24800,Petrol
Honda Civic,Honda ,2017,3300000,38000,Petrol
Suzuki Swift,Suzuki ,2012,1230000,130000,Petrol
Nissan Sunny,Nissan ,2000,660000,300000,Petrol
Daihatsu Mira,Daihatsu ,2005,895000,76800,Petrol
Daihatsu Mira,Daihatsu ,2012,1200000,120000,Petrol
Suzuki Other,Suzuki ,2007,950000,100000,Petrol
Suzuki Margalla,Suzuki ,1998,400000,950000,Petrol
Toyota Land,Toyota ,2011,20000000,70000,Petrol
Honda City,Honda ,2019,2495000,7700,Petrol
Honda Fit,Honda ,2017,3325000,31000,Hybrid
Toyota Corolla,Toyota ,2010,1750000,94000,Petrol
Daihatsu Mira,Daihatsu ,2015,1550000,27000,Petrol
Suzuki Mehran,Suzuki ,2009,550000,68000,Petrol
Honda Civic,Honda ,2010,1700000,91000,Petrol
Toyota Prado,Toyota ,2012,11500000,90000,Petrol
Honda City,Honda ,2018,2480000,18000,Petrol
Honda Vezel,Honda ,2013,3350000,110000,Petrol
Honda Civic,Honda ,2017,3280000,55000,Petrol
Suzuki Mehran,Suzuki ,2013,675000,45000,Petrol
Suzuki Mehran,Suzuki ,2006,430000,102876,Petrol
Daihatsu Mira,Daihatsu ,2018,1875000,2060,Petrol
